id,title,status,date,purpose,method,country_code,description,organizations,target,link,enforcement_details,revision
5eac6d6e04a448cffe6148e4,Lockdown enforcement drones in Spain,launched,,Lockdown enforcement,Drones,ES,"In Madrid, police use drones to tell people to go home",,general_public,https://www.bbc.co.uk/news/av/world-europe-51900325/coronavirus-please-stay-at-home,,2
5eac6d6e04a448cffe6148e5,"France ""in talks"" about joining Palantir's virus program",announced,,Resource management and policy response,Big data,FR,"Paris hospitals in talks with Palantir, which is making a version of its ""Foundry"" data-mining software available for free to governments and international organisations involved in the Covid-19 response.",Palantir,general_public,https://www.bloomberg.com/news/articles/2020-04-01/palantir-in-talks-with-germany-france-for-virus-fighting-tool,,2
5eac6d6e04a448cffe6148e6,Palantir software used by agencies in Greece,launched,,Resource management and policy response,"AI, Big data",GR,"Bloomberg reported ""a dozen"" governments joined the US and UK in adopting Palantir software to fight the virus. They include agencies in Austria, Canada, Greece and Spain.",Palantir,general_public,https://www.bloomberg.com/news/articles/2020-04-02/coronavirus-news-palantir-gives-away-data-mining-tools,,1
5eac6d6e04a448cffe6148e7,Nice has been using drones to enforce lockdowns,launched,2020-03-19,Lockdown enforcement,Drones,FR,"A drone has been flying over Nice to enforce lockdown measures. Through its loudspeaker, it repeats two prerecorded messages: ""Travel is prohibited except for exceptions"" and ""respect the safety distances please"".",Drone 06,general_public,https://www.nicematin.com/faits-de-societe/video-coronavirus-un-drone-survole-nice-pour-faire-respecter-les-mesures-de-confinement-483423,,2
5eac6d6e04a448cffe6148e8,DELETE: Orange discussing contact tracing partnership with Apple in France,inactive,,Contact tracing,,FR,"Orange is in discussions with Apple over developing France’s smartphone app for tracing people who are at risk of coronavirus infection, CEO Stephane Richard said on Thursday.","Apple, Orange",general_public,https://www.reuters.com/article/us-health-coronavirus-orange-apple/frances-contact-tracing-app-should-be-ready-by-end-of-may-orange-idUSKBN22C1LJ,,4
5eac6d6e04a448cffe6148e9,Israeli permit app for Palestinians,launched,,Travel authorization,"App, Permit app, Smartphone",IL,"Israeli news reports that Palestinians seeking to verify whether their permits to remain in Israel are still valid have been instructed to download an app that enables the military access to their cellphones’ location, notifications, files and the device's camera. To install the app, users need to approve the following terms: ""We may make use of the information we collect for any purpose, including for security purposes. ""You agree and declare that you know that all the information you are asked to provide is not required by law or defense regulations, and it is provided of your own free will, so that we can make use of it as we see fit. In addition, you consent that we may store the information you have provided to us in our databases based on our considerations"".",,general_public,https://www.haaretz.com/israel-news/.premium-amid-coronavirus-crisis-israel-tells-palestinians-to-download-app-that-tracks-phone-1.8751504,"The app is not mandatory but because the admin offices are closed, West Bank Palestinians must download the program to monitor their permit’s validity.",5
5eac6d6e04a448cffe6148ea,Hong Kong quarantine enforcement wristbands,launched,,Quarantine enforcement,"App, Smartphone, Wearables",HK,"Hong Kong issues tracking wristbands to people under compulsory home quarantine. The wristbands are linked to a mandatory smartphone app that shares its location with the government via messaging apps WeChat or WhatsApp. People returning from abroad report being asked to fill out a form which suggests passengers have the option of sharing their location with the government via messaging platforms, like WeChat and WhatsApp, or by agreeing to wearing an electronic wristband. However it is unclear whether messaging apps are an option for Hong Kong residents, one person told CNBC they were only able to wear the wristbands.",,general_public,https://www.cnbc.com/2020/03/18/hong-kong-uses-electronic-wristbands-to-enforce-coronavirus-quarantine.html,"A person who contravenes or knowingly gives false information to Department of Health is liable on conviction to a $5000 HKD ($644) fine and to imprisonment for 6 months,"" according to a handout given to passengers and which was obtained by CNBC.",4
5eac6d6e04a448cffe6148eb,PeduliLindungi: Indonesian contact tracing app,launched,2020-04-10,Contact tracing,"App, Bluetooth, GPS, Smartphone",ID,"The app PeduliLindungi cross references the data stored on its users’ mobile devices through Bluetooth connection. When a user is in the vicinity of another user whose data has been uploaded to PeduliLindungi, the app enables an anonymous exchange of identities, according to its official website."," Communications and Information Ministry,  the State-Owned Enterprises Ministry and the National Disaster Management Agency, Ministry of Heatlh",general_public,https://www.thejakartapost.com/news/2020/03/30/covid-19-indonesia-develops-surveillance-app-to-bolster-contact-tracing-tracking.html,,4
5eac6d6e04a448cffe6148ec,Israeli police use drones to enforce lockdown,announced,,Lockdown enforcement,Drones,IL,Israeli police in the city of Naharia were using drones to patrol the beachfront area and enforce lockdown restrictions.,,general_public,https://www.france24.com/en/20200405-jordan-becomes-latest-mideast-country-to-deploy-drones-in-virus-response,,2
5eac6d6e04a448cffe6148ed,Israel's Shin Bet contact tracing system,launched,2020-03-22,Contact tracing,Telecom data,IL,"The controversial tracking system - lead by internal security agency Shin Bet - uses a database called ""The Tool"" which collects data from cellular providers and phone companies in Israel. This data includes location as well as call, text and internet history metadata.","Cellcom, Golan Telecom, Hot Mobile, Partner, Pelephone, we4G",general_public,https://www.brookings.edu/techstream/how-israels-covid-19-mass-surveillance-operation-works/,,5
