title,summary,country,description,geographical_scope,start_date.specificity,start_date.date,start_date.note,end_date.specificity,end_date.date,end_date.note,software_used,involved_companies,enforcement_details,data_storage_details,link,surveillance_types.0.main_type,surveillance_types.0.sub_type,surveillance_types.1.main_type,surveillance_types.1.sub_type,surveillance_types.2.main_type,surveillance_types.2.sub_type,surveillance_types.3.main_type,surveillance_types.3.sub_type,surveillance_types.4.main_type,surveillance_types.4.sub_type,legal_base,legislation.description,legislation.pass_date.specificity,legislation.pass_date.date,legislation.pass_date.note,legislation.end_date.specificity,legislation.end_date.date,legislation.end_date.note,legislation.link,legislation.notes,notes
Palantir software used by agencies in Greece,,GR,"Palantir is making a version of its ""Foundry"" data-mining software available for free to governments and international organisations involved in the Covid-19 response. At the end of March, beginning of April, Bloomberg reported ""a dozen governments joined the US and UK in adopting Palantir software to fight the virus. They include agencies in Austria, Canada, Greece and Spain although people involved were not authorized to discuss the work publicly. Countries are seeking to quickly gather data so health officials can track the spread and then map which resources they will likely need. Precise location data isn't currently used by Palatnir, according to Bloomberg, but some of the company's customers are ""considering it"".",Regional,,,,,,,Palantir is notoriously secretive,"[""Palantir""]",,Unclear,https://www.bloomberg.com/news/articles/2020-04-02/coronavirus-news-palantir-gives-away-data-mining-tools,"Predictive analytics (artificial intelligence, big data etc)","[""Resource management (e.g. ICU supplies)""]",,,,,,,,,,,,,,,,,,,
Nice has been using drones to enforce lockdowns,,FR,"A drone has been flying over downtown and the main roads of Nice to enforce containment measures. Equipped with a loudspeaker, the machine repeats two prerecorded messages: ""Travel is prohibited except for exceptions"" and ""respect the safety distances please"".",Regional,month,2020-03-19T00:00:00.000Z,,,,,,"[""Drone 06""]",,,https://www.nicematin.com/faits-de-societe/video-coronavirus-un-drone-survole-nice-pour-faire-respecter-les-mesures-de-confinement-483423,"Location surveillance (mapping, contact tracing etc)","[""Quarantine enforcement""]",,,,,,,,,,,,,,,,,,,
Hong Kong quarantine enforcement wristbands,,HK,"Hong Kong issues tracking wristbands to people under compulsory home quarantine to ensure they don’t go out. The wristbands are accompanied by a mandatory smartphone app that shares its location with the government via messaging apps WeChat or WhatsApp. People returning from abroad report being asked to fill out a form which suggests passengers have the option of sharing their location with the government via messaging platforms, like WeChat and WhatsApp, or by agreeing to wearing an electronic wristband. However it is unclear whether messaging apps are an option for Hong Kong residents, one person told CNBC they were only able to wear the wristbands.",Regional,,,,,,,,,"“A person who contravenes or knowingly gives false information to Department of Health is liable on conviction to a $5000 HKD ($644) fine and to imprisonment for 6 months,” according to a handout given to passengers and which was obtained by CNBC.",,https://www.cnbc.com/2020/03/18/hong-kong-uses-electronic-wristbands-to-enforce-coronavirus-quarantine.html,"Location surveillance (mapping, contact tracing etc)","[""Quarantine enforcement""]",,,,,,,,,,,,,,,,,,,
Indonesian contact tracing app,,ID,"The app PeduliLindungi cross references the data stored on its users’ mobile devices through Bluetooth connection. When a user is in the vicinity of another user whose data has been uploaded to PeduliLindungi, the app enables an anonymous exchange of identities, according to its official website.",National,,,,,,,,,,"According to the government, data is encrypted and will not be disclosed to any other party. Data can only be accessed if a person is ""likely to have been infected with COVID-19"" and ""requires immediate medical attention"".",https://www.thejakartapost.com/news/2020/03/30/covid-19-indonesia-develops-surveillance-app-to-bolster-contact-tracing-tracking.html,"Location surveillance (mapping, contact tracing etc)","[""Individual contact tracing""]",,,,,,,,,,,,,,,,,,,
Israeli permit app for Palestinians,,IL,"Israeli news reports that Palestinians seeking to verify whether their permits to remain in Israel are still valid have been instructed to download an app that enables the military access to their cellphones’ location, notifications, files and the device's camera.  To install the app, users need to approve the following terms: “We may make use of the information we collect for any purpose, including for security purposes. ""You agree and declare that you know that all the information you are asked to provide is not required by law or defense regulations, and it is provided of your own free will, so that we can make use of it as we see fit. In addition, you consent that we may store the information you have provided to us in our databases based on our considerations,”",National,,,,,,,,,"The app is not  mandatory but because the admin offices are closed, West Bank Palestinians must download the  program to monitor their permit’s validity.",,https://www.haaretz.com/israel-news/.premium-amid-coronavirus-crisis-israel-tells-palestinians-to-download-app-that-tracks-phone-1.8751504,Permit app,"[""Result of office closures""]",,,,,,,,,,,,,,,,,,,
Israeli police use drones to enforce lockdown,,IL,Israeli police in the northern coastal city of Naharia were using drones to patrol the beachfront area and enforce movement restrictions.,Regional,,,,,,,,,,,https://www.france24.com/en/20200405-jordan-becomes-latest-mideast-country-to-deploy-drones-in-virus-response,"Location surveillance (mapping, contact tracing etc)","[""Quarantine enforcement""]",,,,,,,,,,,,,,,,,,,
Israeli terrorism style contact tracing,,IL,Prime Minister Benjamin Netanyahu’s cabinet approved emergency regulations that enabled the Shin Bet internal security service to tap into cellular data to retrace the movements of people infected by the virus. The contact tracing technology which is usually used for anti-terrorism has since yielded data used by the Health Ministry to locate people infected by the virus and alert those who have been in their vicinity.,National,month,2020-03-17T00:00:00.000Z,During an overnight sitting of the cabinet,,,"Temporary legislation, supposed to end after 30 days.",Geolocation data routinely collected from Israeli cellphone providers,,Mandatory,With the Shin Bet,https://www.reuters.com/article/us-health-coronavirus-israel-monitoring/israels-top-court-says-government-must-legislate-covid-19-phone-tracking-idUSKCN2280RN,"Location surveillance (mapping, contact tracing etc)","[""Individual contact tracing""]",,,,,,,,,,"Citing grave dangers to privacy, Israel’s Supreme Court ruled on Sunday that the government must bring its use of mobile phone tracking deployed in the battle against the new coronavirus under legislation.",,,,,,,,,
Israel turns to AI to find those at risk of covid 19,,IL,"One of Israel’s largest health maintenance organizations is using artificial intelligence to help identify which of the 2.4 million people it covers are most at risk of severe covid-19 complications. Maccabi Healthcare Services says the system—which it developed with AI company Medial EarlySign—has already flagged 2% of its members, amounting to around 40,000 people. Once identified, individuals are put on a fast track for testing.",National,,,,,,,"To make its predictions, the AI system draws on a range of medical data, including a person’s age, BMI, health conditions such as heart disease or diabetes, and previous history of hospital admissions. The AI can trawl through a vast number of records and spot at-risk individuals who might have been missed otherwise.","[""Medial EarlySign""]",,,https://www.technologyreview.com/2020/04/24/1000543/israel-ai-prediction-medical-testing-data-high-risk-covid-19-patients/,"Predictive analytics (artificial intelligence, big data etc)","[""Finding high risk patients""]",,,,,,,,,,,,,,,,,,,
"Israel contact tracing app, The Shield",,IL,"Called Hamagen (The Shield), the app reveals if a user was, over the previous 14 days, in close proximity to anyone who has been diagnosed  with the virus, the ministry said in a statement.",National,,,,,,,"GlobeKeeper developed a “virtual command platform” that replaces walkie-talkies with smart phones using their capabilities like GPS, Bluetooth and WiFi to measure distances between objects in real-time.","[""GlobeKeeper""]",,,https://www.reuters.com/article/us-health-coronavirus-israel-apps/1-5-million-israelis-using-voluntary-coronavirus-monitoring-app-idUSKBN21J5L5,"Location surveillance (mapping, contact tracing etc)","[""Individual contact tracing""]",,,,,,,,,,,,,,,,,,,
"Israel contact tracing app, Track Virus",,IL,Israeli contact tracing app that also visualises health ministry data to map infections,National,,,,,,,"The information, the developers stress, is anonymized and is not uploaded to the cloud, and the app does not prompt for any form of identification though users do grant geolocation permissions for their smartphones.","[""Ori Fadlon"",""PandaOS""]",,Location history is only stored on the user's device.,https://nocamels.com/2020/03/israeli-app-alert-coronavirus-exposure/,"Location surveillance (mapping, contact tracing etc)","[""Individual contact tracing""]",,,,,,,,,,,,,,,,,,,
