title,summary,country,description,geographical_scope,start_date.specificity,start_date.date,start_date.note,end_date.specificity,end_date.date,end_date.note,software_used,involved_companies,enforcement_details,data_storage_details,link,surveillance_types.0.main_type,surveillance_types.0.sub_type,surveillance_types.1.main_type,surveillance_types.1.sub_type,surveillance_types.2.main_type,surveillance_types.2.sub_type,surveillance_types.3.main_type,surveillance_types.3.sub_type,surveillance_types.4.main_type,surveillance_types.4.sub_type,legal_base,legislation.description,legislation.pass_date.specificity,legislation.pass_date.date,legislation.pass_date.note,legislation.end_date.specificity,legislation.end_date.date,legislation.end_date.note,legislation.link,legislation.notes,notes
Singapore's Trace Together App,,SG,"If two people who have downloaded the app spend at least 30 minutes within 2 metres of each other, their phones “shake hands”,  exchanging a unique code that is stored on their phone for 21 days. If one of them becomes infected, disease detectives can use these codes  to quickly identify who else might be at risk.",National,,,,,,,,,,,https://www.tech.gov.sg/media/technews/tracetogether-behind-the-scenes-look-at-its-development-process,"Location surveillance (mapping, contact tracing etc)","[""Individual contact tracing""]",,,,,,,,,,,,,,,,,,,
Sweden aggregated anonymized location tracking,,SE,"Sweden is using location data from a local telcom company to assess country-wide movements. ""The data can also be used as a basis for making decisions on possible measures, and to evaluate the effect of measures already taken, such as recommendations to keep distances and to avoid unnecessary travel,"" the health authority says.",National,,,,,,,,"[""Telia"",""Accenture""]",,,https://computersweden.idg.se/2.2683/1.733045/telia-data-corona,"Location surveillance (mapping, contact tracing etc)","[""Use of aggregated location data (data of groups in stead of individuals)""]",,,,,,,,,,,,,,,,,,,
Polish app to monitor infections,,PL,"The application, called ProteGo Safe, allows users to monitor their health by taking a special survey. When its functions are extended in the future, the system will monitor who the user has been in contact with, public broadcaster Polish Radio’s IAR news agency reported.",National,,,,,,,,,,,"https://www.polskieradio.pl/395/7789/Artykul/2495749,Polish-app-aims-to-monitor-coronavirus-infections","Biometric surveillance (monitoring faces, health, body functions, etc)","[""Health Monitoring (for instance temperature monitoring)""]",,,,,,,,,,,,,,,,,,,
Drones used in Kigali to enforce lockdown,,RW,"Rwanda is using drones to keep residents of the capital Kigali informed of coronavirus lockdown measures - and help catch those who abuse them. While police stop cars and pedestrians on streets to ask why they are out, two drones buzz above them, one loudly broadcasting instructions and the other monitoring movements.",Regional,,,,,,,,,,,https://news.trust.org/item/20200417122026-ybz1s/,Drone Surveillance,"[""Lockdown Enforcement""]",,,,,,,,,,,,,,,,,,,
Thailand visitor tracking,,TH,Those arriving in Thailand from high-risk areas will be given a SIM card that lets the government track their movement for 14 days.,National,,,,,,,,,,,https://onezero.medium.com/the-pandemic-is-a-trojan-horse-for-surveillance-programs-around-the-world-887fa6f12ec9,"Location surveillance (mapping, contact tracing etc)","[""Quarantine enforcement""]",,,,,,,,,,,,,,,,,,,
Singapore's quarantine enforcement texts,,SG,"In Singapore, the government uses text messages to contact people, who must click on a link to prove they are at home.",National,,,,,,,,,,,https://www.reuters.com/article/us-health-coronavirus-taiwan-surveillanc/taiwans-new-electronic-fence-for-quarantines-leads-wave-of-virus-monitoring-idUSKBN2170SK,"Location surveillance (mapping, contact tracing etc)","[""Quarantine enforcement""]",,,,,,,,,,,,,,,,,,,
Thailand contact tracing app,,TH,Mor Chana can help identify individuals who have been exposed to virus patients by using GPS and Bluetooth technology to track their location.,National,,,,,,,,"[""Code for Public"",""Chuay Kan Group""]",,,https://www.bangkokpost.com/tech/1897415/new-virus-app-a-powerful-tool,"Location surveillance (mapping, contact tracing etc)","[""Individual contact tracing""]",,,,,,,,,,,,,,,,,,,
Tunisia's police robots,,TN,"A police robot has been deployed to patrol areas of Tunisia's capital, Tunis, to ensure that people are observing a coronavirus lockdown. If it spies anyone walking in the largely deserted streets, it approaches them and asks why they are out. They must then show their ID and other papers to the robot's camera, so officers controlling it can check them.",Regional,,,,,,,"The four-wheeled robots, called PGuards, have a thermal-imaging camera and Lidar (light detection and ranging) technology, which works like radar but uses light instead of radio waves.","[""Enova Robotics""]",,,https://www.bbc.co.uk/news/world-africa-52148639,"Location surveillance (mapping, contact tracing etc)","[""Quarantine enforcement""]",,,,,,,,,,,,,,,,,,,
Turkey's contact tracing app,,TR,GPS contact tracing app called Korona Önlem developed by the T. C. Ministry of Health,National,,,,,,,,,,,https://www.top10vpn.com/research/investigations/covid-19-digital-rights-tracker/,"Location surveillance (mapping, contact tracing etc)","[""Individual contact tracing""]",,,,,,,,,,,,,,,,,,,
"Taiwan's ""electronic fence",,TW,"If a quarantined person leaves their home or turns off their phone, their location data alerts local police who will visit or get in touch. The system monitors phone signals to alert police and local officials if those in home quarantine move away from their address or turn off their phones. Taiwan's cyber security head said authorities will contact or visit those who trigger an alert within 15 minutes. Officials also call twice a day to ensure people don’t avoid tracking by leaving their phones at home.",National,,,,,,,,,,,https://www.reuters.com/article/us-health-coronavirus-taiwan-surveillanc/taiwans-new-electronic-fence-for-quarantines-leads-wave-of-virus-monitoring-idUSKBN2170SK,"Location surveillance (mapping, contact tracing etc)","[""Quarantine enforcement""]",,,,,,,,,,,,,,,,,,,
Turkey's Pandemic Isolation Tracking Project,,TR,"Turkey has launched a project for reducing the spread of the novel coronavirus by using location data from patients’ mobile devices. All telecommunication companies must share the location and contact information of patients who tested positive for covid-19. If the patient does not respect quarantine, he/she will receive an automatic alert and may face sanctions.",National,month,2020-04-08T00:00:00.000Z,,,,Until the risk of the virus ends.,"The measure is said to respect data privacy regulations, but it makes use of an exceptions clause for issues of national security and public order.","[""Vodafone"",""Turkcell"",""Turk Telekom""]",,,https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/turkey-launches-covid-19-isolation-tracking-project/1797961,"Location surveillance (mapping, contact tracing etc)","[""Quarantine enforcement""]",,,,,,,,,,The project obtained the necessary permissions in line with Article 12 of Law No. 6698 on the Protection of Personal Data,,,,,,,,,
Ukraine's contact tracing app,,UA,"Centralised, GPS contact tracing app developed by Ukraine's Ministry of Digital Transformation",National,,,,,,,,,,Centralised,https://www.top10vpn.com/research/investigations/covid-19-digital-rights-tracker/,"Location surveillance (mapping, contact tracing etc)","[""Individual contact tracing""]",,,,,,,,,,,,,,,,,,,
Slovak contact tracing app,,SK,Slovak GPS contact tracing app developed by Marek Gogoľ,National,,,,,,,GPS,"[""Marek Gogoľ""]",,,https://www.top10vpn.com/research/investigations/covid-19-digital-rights-tracker/,"Location surveillance (mapping, contact tracing etc)","[""Individual contact tracing""]",,,,,,,,,,,,,,,,,,,
Connecticut town plans fever-detecting drones,,US,"A Connecticut police department said it plans to begin testing a ""pandemic drone"" that could detect whether a person 190 feet away has a fever or is coughing. The drone manufacturer, Draganfly, said in a statement that the technology can detect fever, coughing, sneezing and heart and respiratory rates, and that Westport police plan to use it to protect those considered high-risk, such as senior citizens, and monitor people gathering in crowds, including to see if they are maintaining social distancing.",Regional,,,,,,,"Technology can detect fever, coughing, sneezing and heart and respiratory rates","[""Draganfly""]","A police spokesman said that during the testing phase of the program no action will be taken if the drone shows that a person has a fever or is coughing. The focus, for now, is to evaluate information from the drone, Lieutenant Anthony Prezioso said.",Unclear,https://www.nbcnews.com/news/us-news/connecticut-town-tests-pandemic-drone-detect-fevers-experts-question-if-n1189546,"Biometric surveillance (monitoring faces, health, body functions, etc)","[""Health Monitoring (for instance temperature monitoring)""]",,,,,,,,,,,,,,,,,,,
New Jersey drones enforce social distancing,,US,"In Elizabeth, New Jersey, Mayor Chris Bollwage will be using drones to remind residents who are breaking social distancing rules of the penalties they could suffer if they do not cease immediately. The police department will use a fleet of five DJI Mavic 2 UAV drones on loan from manufacturer DJI to patrol Elizabeth. It will convey an automated message from Bollwage to “stop gathering, disperse, and go home.”",Regional,,,,,,,The police department said that only an automated message will be dispersed to help enforce social distancing. No images or other personal information will be collected.,"[""DJI""]",,No data to be stored,https://thehill.com/changing-america/well-being/prevention-cures/491951-talking-drones-issuing-social-distancing,Drone surveillance,"[""Lockdown enforcement""]",,,,,,,,,,,,,,,,,,,
Clearview negotiates pandemic role,,US,Clearview AI is allegedly negotiating a contact tracing partnership with state agencies to monitor infected people and the individuals with whom they have interacted.,National,,,,,,,,"[""Clearview""]",,,https://www.wsj.com/articles/to-track-virus-governments-weigh-surveillance-tools-that-push-privacy-limits-11584479841,"Location surveillance (mapping, contact tracing etc)","[""Individual contact tracing""]",,,,,,,,,,,,,,,,,,,
Palantir collaborates with US health agencies,,US,The data mining company Palantir is already collaborating with the CDC to help assess where the virus is spreading (or could spread to) and how best to allocate limited resources.,National,,,,,,,,"[""Palantir""]",,,https://www.forbes.com/sites/thomasbrewster/2020/03/31/palantir-the-20-billion-peter-thiel-backed-big-data-giant-is-providing-a-coronavirus-monitoring-tool-to-the-cdc/#47cebd2b1595,"Predictive analytics (artificial intelligence, big data etc)","[""Resource management (e.g. ICU supplies)""]",,,,,,,,,,,,,,,,,,,
Adtech data used to assess lockdown compliance in the US,,US,"The CDC is using location data from adtech firms to understand Americans' lockdown compliance. The goal is to create a portal that federal, state, and local officials can use to study geolocation from up to 500 US cities and see which retail establishments, parks, and other public spaces continue to draw crowds as well as show general levels of compliance with lockdown orders",National,,,,,,,,,,,https://privacyinternational.org/examples/3643/us-adtech-supplies-cdc-and-local-governments-geolocation-data,"Location surveillance (mapping, contact tracing etc)","[""Use of aggregated location data (data of groups in stead of individuals)""]",,,,,,,,,,,,,,,,,,,
Smart themoters track Covid spread in States,,US,"Kinsa Health, that has used internet-connected thermometers to predict the spread of the flu, says it is tracking the coronavirus in real time. The company has sold or given away more than a million smart thermometers to households in which two million people reside, and can record fevers almost as soon as consumers experience them.",National,,,,,,,,"[""Kinsa Health""]",,,https://www.nytimes.com/2020/03/18/health/coronavirus-fever-thermometers.html,"Biometric surveillance (monitoring faces, health, body functions, etc)","[""Health Monitoring (for instance temperature monitoring)""]",,,,,,,,,,,,,,,,,,,
Fever detection in US groceries stores,,US,"A groceries chain in Georgia, USA has deployed thermal imaging cameras at the entrance to their stores and employees are ready to pull aside shoppers with a temperature of 38 degrees or higher and hand them a flyer asking them to leave. ""It’s focused on the face, so basically we measure the head temperature as they walk into the store,"" the owner of the groceries store told NBC. ""It’s in the corner, not right in front of the entrance, and we have an LCD monitor that security personnel can watch and the customers can also see.",Regional,,,,,,,Thermal Imaging,"[""FLiR""]",People with too high temperatures are asked to leave the store,,https://www.nbcnews.com/tech/security/fever-detection-cameras-fight-coronavirus-experts-say-they-don-t-n1170791,"Biometric surveillance (monitoring faces, health, body functions, etc)","[""Health Monitoring (for instance temperature monitoring)""]",,,,,,,,,,,,,,,,,,,
Bellvue WA app to track lockdown violators,,US,"After police in Bellevue, WA were inundated with calls from local residents reporting suspected violations of the state's week-old stay-at-home order, they asked the public to use the MyBellevue app instead, to keep 911 lines open for emergencies.",Regional,,,,,,,,,,,https://bellevuewa.gov/city-news/report-stay-home-violations,Neighbour surveillance,"[""Lockdown enforcement""]",,,,,,,,,,,,,,,,,,,
Michigan shopping centres to use social distancing AI,,US,Two Michigan shopping centres owned by RPT Realty will have distancing tracking from RE Insight in two weeks.,Regional,,,,,,,,"[""RE Insight""]",,,https://uk.reuters.com/article/uk-health-coronavirus-surveillance-tech/companies-bet-on-ai-cameras-to-track-social-distancing-limit-liability-idUKKCN22916F,"Biometric surveillance (monitoring faces, health, body functions, etc)","[""social distance AI""]",,,,,,,,,,,,,,,,,,,
Chicago based construction firm using AI to enforce social distancing,,US,"Chicago-based Pepper Construction, which introduced software from SmartVid.io this month to detect workers grouping at an Oracle Corp project in Deerfield, Illinois.",Regional,,,,,,,,"[""Smartvid.io""]",,,https://uk.reuters.com/article/uk-health-coronavirus-surveillance-tech/companies-bet-on-ai-cameras-to-track-social-distancing-limit-liability-idUKKCN22916F,"Location surveillance (mapping, contact tracing etc)","[""Individual contact tracing""]",,,,,,,,,,,,,,,,,,,
North and South Dakota contact tracing app,,US,"Care 19 is a repurposed football app to provide contact tracing in two US states. According to the app's website: ""This app will help the NDDoH reduce the spread of COVID-19 by more efficiently and effectively identifying individuals who may have had contact with people who have tested positive. Once the app is downloaded, individuals will be given a random ID number and the app will anonymously cache the individual’s locations throughout the day. Individuals are then encouraged to categorize their movement into different groups such as work or grocery. The app will only store the location of any place a person visits for 10 minutes or more, and the ID number of each individual contains no personal information besides location data.",Regional,month,2020-04-07T00:00:00.000Z,,,,,"Care19 uses Wi-Fi, cell towers and GPS to gauge people’s locations, usually within about 175 feet, making it much less accurate than Bluetooth-based apps.","[""ProudCrowd""]",,"An analysis by The New York Times confirmed that the app sends people’s location data to a private server hosted on Microsoft’s cloud platform. Mr. Brookins, the developer, said only he and one other person have access to the server, and health officials can get the data only of people who test positive for the coronavirus and then agree to share it.",https://www.nytimes.com/2020/04/29/business/coronavirus-cellphone-apps-contact-tracing.html,"Location surveillance (mapping, contact tracing etc)","[""Individual contact tracing""]",,,,,,,,,,,,,,,,,,,
Walmart to start taking employees temperatures,,US,Walmart will start taking employees’ temperatures when they report to work and tell them to stay home or seek medical care if they have a fever of at least 100 degrees.,National,,,,,,,,,Employees with high temperatures to be sent home from work,,https://www.wsj.com/articles/walmart-to-check-temperatures-of-store-workers-amid-coronavirus-crisis-11585661982,"Biometric surveillance (monitoring faces, health, body functions, etc)","[""Health Monitoring (for instance temperature monitoring)""]",,,,,,,,,,,,,,,,,,,
Aggregated Location Tracking provided by Google,,Global,"Google is using GPS location data from mobile phones to publish online reports showing changes in the number of visitors to public places such as transport hubs, parks, workplaces, homes, pharmacies and grocery stores in 131 countries.",Global,,,,,,,,,,,https://www.google.com/covid19/mobility/,"Location surveillance (mapping, contact tracing etc)","[""Use of aggregated location data (data of groups in stead of individuals)""]",,,,,,,,,,,,,,,,,,,
Amazon buys fever detecting cameras to monitor workers,,International,"The company added it was implementing thermal imagers from “multiple” manufacturers. These vendors include Dahua Technology, Infrared Cameras, which Reuters previously reported, and Flir, according to employees at Amazon-owned Whole Foods who saw the deployment.",Global,,,,,,,Thermal imaging cameras,"[""Dahua Technology"",""Infrared Cameras"",""Flir""]",,,https://www.theguardian.com/technology/2020/apr/29/amazon-thermal-cameras-china-dahua,"Biometric surveillance (monitoring faces, health, body functions, etc)","[""Health Monitoring (for instance temperature monitoring)""]",,,,,,,,,,,,,,,,,,,
Google and Apple released an initial test version of their software platforms for building tracing apps,,Global,Apple and Google announced a Bluetooth-based COVID-19 contact tracing platform added as a core iOS and Android feature that could alert people if they’ve been exposed to the novel coronavirus.,Global,,,,,,,Bluetooth,"[""Apple"",""Google""]",,,https://www.theverge.com/2020/4/10/21216715/apple-google-coronavirus-covid-19-contact-tracing-app-details-use,"Location surveillance (mapping, contact tracing etc)","[""Individual contact tracing""]",,,,,,,,,,,,,,,,,,,
South Africa location tracking,,ZA,"South African cellphone companies have agreed to give the government cellphone location data in order to help fight against the coronavirus behind Covid-19, communications minister Stella Ndabeni-Abrahams said in March.",National,month,2020-03-25T00:00:00.000Z,,,,,,,,,https://www.businessinsider.co.za/south-africa-will-be-tracking-cellphones-to-fight-covid-19-2020-3?fbclid=IwAR2SuMq5K3QiaX5UPs0XQg0pAXDWLh4j8INxDqxr3ftj1l_1lfdbPNLTMOs,"Location surveillance (mapping, contact tracing etc)","[""Use of aggregated location data (data of groups in stead of individuals)""]",,,,,,,,,,,,,,,,,,,
San Francisco company developing immunity passports,,US,"Onfido is working with at least one European government to develop phone-based ""immunity passports"" for those who have already recovered from COVID-19 and tested positive for antibodies. CEO Husayn Kassai tells Axios that there have been indirect discussions at both the federal and state levels via partners.",National,,,,,,,"The “passports” would be tied to your identity, using facial recognition that would need to reauthenticate between uses (to prevent people from borrowing or stealing phones). But it would be predicated on widespread disbursement of at-home testing kits.","[""Onfido""]",,,https://www.axios.com/identity-passports-coronavirus-onfido-ce569830-85a3-4b1e-b8ad-7e61b52aa817.html,"Biometric surveillance (monitoring faces, health, body functions, etc)","[""Health Monitoring (for instance temperature monitoring)""]",,,,,,,,,,,,,,,,,,,
